Date,Transaction Type,Check_Ref,Description,Amount,Source,ID,Next Action
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3646.28,GL,1013,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1014,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1015,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3635.16,GL,1016,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1017,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,16353.34,GL,1018,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1587.86,GL,1019,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3640.72,GL,1020,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-03,ap payments,2208035.0,"a logistics, llc`2208035_x0003_($10,585.59 usd), aug 03, 2022",-10585.59,GL,1021,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-03,ap payments,15948.0,"national bank #6414`15948_x0003_($417.51 usd), aug 03, 2022",-417.51,GL,1022,Amount/date mismatch. Focus on Desc (NLP).
2022-08-03,ap payments,15949.0,"national bank #6522`15949_x0003_($49.53 usd), aug 03, 2022",-49.53,GL,1023,Amount/date mismatch. Focus on Desc (NLP).
2022-08-03,ap payments,15950.0,"freight, inc.`15950_x0003_($800.00 usd), aug 03, 2022",-800.0,GL,1024,Amount/date mismatch. Focus on Desc (NLP).
2022-08-03,ap payments,15951.0,"western pest services`15951_x0003_($191.92 usd), aug 03, 2022",-191.92,GL,1025,Amount/date mismatch. Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1358.0,GL,1026,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,740.52,GL,1027,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,12138.0,GL,1028,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1357.5,GL,1029,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,2508.8,GL,1030,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,426.4,GL,1031,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1656.0,GL,1032,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1487.85,GL,1033,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,319.8,GL,1034,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,348.66,GL,1035,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,2800.0,GL,1036,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,869.44,GL,1037,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,3646.5,GL,1038,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,844.5600000000001,GL,1039,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-05,payroll,15925.0,,-621.0600000000001,GL,1052,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15927.0,,-579.8000000000001,GL,1054,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15928.0,,-656.5500000000001,GL,1055,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15932.0,,-580.4300000000001,GL,1059,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15937.0,,-642.9300000000001,GL,1068,Amount/date mismatch. Manual review needed.
2022-08-05,ap payments,15947.0,"solutions llc`15947_x0003_($22,366.65 usd), aug 05, 2022",-22366.65,GL,1071,Amount/date mismatch. Focus on Desc (NLP).
2022-08-05,payroll,15941.0,,-636.58,GL,1072,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15942.0,,-1087.89,GL,1073,Amount/date mismatch. Manual review needed.
2022-08-05,payroll,15943.0,,-707.87,GL,1074,Amount/date mismatch. Manual review needed.
2022-08-05,ap payments,2205055.0,"logistics, llc`2205055_x0003_($3,572.64 usd), aug 05, 2022",-3572.64,GL,1075,Amount/date match. Focus on Ref (fuzzy).
2022-08-08,bank charge/income,22542.0,bank checking 2092`22542_x0003_fed p/r tax,-722.97,GL,1076,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,bank charge/income,22543.0,bank checking 2092`22543_x0003_fed p/r tax,-4473.54,GL,1077,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,bank charge/income,22544.0,bank checking 2092`22544_x0003_state p/r tax,-40.92,GL,1078,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,bank charge/income,22545.0,bank checking 2092`22545_x0003_state p/r tax,-161.17000000000002,GL,1079,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,bank charge/income,22546.0,bank checking 2092`22546_x0003_state p/r tax,-737.17,GL,1080,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,bank charge/income,22547.0,bank checking 2092`22547_x0003_state p/r tax,-494.56,GL,1081,Amount/date match. Focus on Ref (fuzzy).
2022-08-08,bank charge/income,22548.0,bank checking 2092`22548_x0003_state p/r tax,-38.47,GL,1082,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,cash receipt entry,22552.0,bank checking 2092`22552_x0003_americold deposit,1298.5,GL,1083,Amount/date match. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-08,ap payments,15993.0,"cup fresh`15993_x0003_($1,298.50 usd), aug 08, 2022",-1298.5,GL,1084,Amount/date mismatch. Focus on Desc (NLP).
2022-08-10,ap payments,2208101.0,"t-mobile`2208101_x0003_($64.28 usd), aug 10, 2022",-64.28,GL,1085,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-11,bank acct transfer,22591.0,credit card account`22591_x0003_transfer: 1230 to: 1210,-5040.86,GL,1086,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-12,payroll,15963.0,,-744.5500000000001,GL,1098,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-12,payroll,15965.0,,-1237.74,GL,1101,Amount/date mismatch. Manual review needed.
2022-08-12,payroll,15973.0,,-762.8100000000001,GL,1107,Amount/date mismatch. Manual review needed.
2022-08-12,payroll,15972.0,,-713.95,GL,1108,Amount/date mismatch. Manual review needed.
2022-08-12,payroll,15979.0,,-762.8100000000001,GL,1114,Amount/date mismatch. Manual review needed.
2022-08-12,payroll,15981.0,,-803.61,GL,1117,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-12,payroll,1471.0,,1237.74,GL,1122,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-12,ap payments,15987.0,"solutions llc`15987_x0003_($23,205.23 usd), aug 12, 2022",-23205.23,GL,1123,Amount/date mismatch. Focus on Desc (NLP).
2022-08-15,bank charge/income,22596.0,bank checking 2092`22596_x0003_fed p/r tax,-1009.44,GL,1124,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22597.0,bank checking 2092`22597_x0003_fed p/r tax,-5151.8,GL,1125,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22598.0,bank checking 2092`22598_x0003_state p/r tax,-47.12,GL,1126,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22599.0,bank checking 2092`22599_x0003_state p.r tax,-187.11,GL,1127,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22600.0,bank checking 2092`22600_x0003_state p/r tax,-858.1700000000001,GL,1128,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22601.0,bank checking 2092`22601_x0003_state p/r tax,-858.1700000000001,GL,1129,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22601.0,bank checking 2092`22601_x0003_state p/r tax,-591.88,GL,1130,Amount/date match. Focus on Ref (fuzzy).
2022-08-15,bank charge/income,22601.0,bank checking 2092`22601_x0003_state p/r tax,858.1700000000001,GL,1131,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-15,bank charge/income,22602.0,bank checking 2092`22602_x0003_state p/r tax,-44.78,GL,1132,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-16,cash receipt entry,22605.0,bank checking 2092`22605_x0003_deposit 8/18/22,6418.08,GL,1134,Amount/date match. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-16,cash receipt entry,22606.0,bank checking 2092`22606_x0003_regatta,1006.0,GL,1135,Amount/date match. Focus on Ref (fuzzy).
2022-08-17,cash receipt entry,22676.0,bank checking 2092`22676_x0003_summit,4908.24,GL,1136,Amount/date match. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-18,ap payments,2208181.0,"logistics, llc`2208181_x0003_($11,621.39 usd), aug 18, 2022",-11621.39,GL,1137,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-18,ap payments,15989.0,"aalto ethylene gas testing`15989_x0003_($128.00 usd), aug 18, 2022",-128.0,GL,1138,Amount/date mismatch. Focus on Desc (NLP).
2022-08-18,ap payments,15990.0,"truck co., inc.`15990_x0003_($1,748.47 usd), aug 18, 2022",-1748.47,GL,1139,Amount/date mismatch. Focus on Desc (NLP).
2022-08-18,ap payments,15991.0,"trailers to go`15991_x0003_($1,100.00 usd), aug 18, 2022",-1100.0,GL,1140,Amount/date mismatch. Focus on Desc (NLP).
2022-08-19,payroll,15988.0,,-1025.64,GL,1141,Amount/date mismatch. Manual review needed.
2022-08-19,ap payments,15988.0,"solutions llc`15988_x0003_($25,576.49 usd), aug 19, 2022",-25576.49,GL,1142,Amount/date mismatch. Focus on Desc (NLP).
2022-08-19,payroll,15989.0,,-947.86,GL,1143,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15990.0,,-1220.73,GL,1144,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15991.0,,-718.33,GL,1145,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,15992.0,,-928.23,GL,1146,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15994.0,,-891.72,GL,1147,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15995.0,,-890.04,GL,1148,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15996.0,,-793.86,GL,1149,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15997.0,,-753.28,GL,1150,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15998.0,,-930.82,GL,1151,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15999.0,,-718.34,GL,1152,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,15993.0,,-753.86,GL,1153,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16007.0,,-709.61,GL,1169,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16012.0,,-738.74,GL,1178,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16012.0,,-661.4,GL,1179,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16013.0,,-731.45,GL,1181,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16014.0,,-697.73,GL,1183,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16015.0,,-753.27,GL,1184,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16016.0,,-1010.45,GL,1187,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16017.0,,-1173.59,GL,1188,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16017.0,,-814.14,GL,1189,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16019.0,,-709.61,GL,1190,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16018.0,,-934.98,GL,1192,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16018.0,,-806.91,GL,1193,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16021.0,,-731.44,GL,1197,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16024.0,,-738.74,GL,1198,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16022.0,,-832.84,GL,1199,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16023.0,,-1430.98,GL,1200,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16025.0,,-889.94,GL,1201,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16026.0,,-646.09,GL,1202,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16029.0,,-1173.59,GL,1203,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16030.0,,-934.98,GL,1204,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16027.0,,-749.36,GL,1205,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,16028.0,,-776.36,GL,1206,Amount/date mismatch. Focus on Ref (fuzzy).
2022-08-19,payroll,16031.0,,-736.6,GL,1207,Amount/date mismatch. Manual review needed.
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,646.09,GL,1208,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,889.94,GL,1209,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,738.74,GL,1210,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1430.98,GL,1211,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,832.84,GL,1212,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,731.44,GL,1213,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1437.85,GL,1214,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,709.61,GL,1215,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,806.91,GL,1216,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,814.14,GL,1217,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1010.45,GL,1218,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,753.27,GL,1219,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,857.24,GL,1220,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1293.84,GL,1221,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,736.6,GL,1222,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,934.98,GL,1223,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1173.59,GL,1224,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,776.36,GL,1225,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,749.36,GL,1226,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,697.73,GL,1227,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,731.45,GL,1228,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,661.4,GL,1229,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,718.34,GL,1230,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,930.82,GL,1231,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,753.28,GL,1232,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,793.86,GL,1233,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,890.04,GL,1234,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,891.72,GL,1235,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,753.86,GL,1236,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,928.23,GL,1237,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,718.33,GL,1238,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1220.73,GL,1239,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,947.86,GL,1240,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,1473.0,`1473_x0003_ppe:  8/13/22,1025.64,GL,1241,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,payroll,16032.0,"`1474_x0003_ ppe: 8/13/22, matthew walker",-1293.84,GL,1242,Amount/date mismatch. Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,1556.0,GL,1243,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,6558.6,GL,1244,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,166.4,GL,1245,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,964.89,GL,1246,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,2194.5,GL,1247,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,1973.7,GL,1248,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,225.0,GL,1249,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,5763.0,GL,1250,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,1935.36,GL,1251,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,389.57,GL,1252,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,298.08,GL,1253,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,221.0,GL,1254,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,6099.6,GL,1255,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,317.2,GL,1256,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,2284.9,GL,1257,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,878.14,GL,1258,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,2130.0,GL,1259,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,2400.0,GL,1260,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,2150.16,GL,1261,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,1264.0,GL,1262,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,8299.2,GL,1263,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,200.08,GL,1264,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-19,cash receipt entry,22692.0,bank checking 2092`22692_x0003_iinternal xfer,199.2,GL,1265,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
